stem,stage,stratum,outcome,action,forms,n_forms,forms_listed,forms_missing,deciding_source,stem_status,mw_stems,part_of_speech,decided_date
fishkill,3,verb-form,mw-absent,none,fishkilling,1,,,,,,,2026-08-14
fluvalinate,3,verb-form,mw-absent,none,fluvalinated fluvalinating,2,,,,,,,2026-08-14
folksay,3,verb-form,mw-absent,none,folksaying,1,,,,,,,2026-08-14
francophone,3,verb-form,inflection-absent,none,francophoned francophoning,2,,francophoned francophoning,collegiate,valid,francophone francophones,adjective,2026-08-14
frankfurts,3,verb-form,inflection-absent,none,frankfurtsed frankfurtsing,2,,frankfurtsed frankfurtsing,collegiate,valid,frankfurt frankfurter frankfurters frankfurts,noun,2026-08-14
gyrophase,3,verb-form,mw-absent,none,gyrophasing,1,,,,,,,2026-08-14
handfish,3,verb-form,mw-absent,none,handfished,1,,,,,,,2026-08-14
hempen,3,verb-form,inflection-absent,none,hempened hempening,2,,hempened hempening,collegiate,valid,hempen,adjective,2026-08-14
hexafluoromanganate,3,verb-form,mw-absent,none,hexafluoromanganated hexafluoromanganating,2,,,,,,,2026-08-14
isocrotonate,3,verb-form,mw-absent,none,isocrotonated isocrotonating,2,,,,,,,2026-08-14
leucocidin,3,verb-form,inflection-absent,none,leucocidined leucocidining,2,,leucocidined leucocidining,collegiate,valid,leucocidin leucocidins,noun,2026-08-14
lutestring,3,verb-form,inflection-absent,none,lutestringed,1,,lutestringed,collegiate,valid,lutestring lutestrings,noun,2026-08-14
micromorph,3,verb-form,mw-absent,none,micromorphed micromorphing,2,,,,,,,2026-08-14
misbuilt,3,verb-form,mw-absent,none,misbuilting,1,,,,,,,2026-08-14
monosulfide,3,verb-form,mw-absent,none,monosulfided monosulfiding,2,,,,,,,2026-08-14
moondust,3,verb-form,inflection-absent,none,moondusted moondusting,2,,moondusted moondusting,collegiate,valid,moondust moondusts,noun,2026-08-14
mouchoir,3,verb-form,mw-absent,none,mouchoired mouchoiring,2,,,,,,,2026-08-14
nainsook,3,verb-form,inflection-absent,none,nainsooked nainsooking,2,,nainsooked nainsooking,collegiate,valid,nainsook nainsooks,noun,2026-08-14
noncustom,3,verb-form,mw-absent,none,noncustomed noncustoming,2,,,,,,,2026-08-14
oakum,3,verb-form,inflection-absent,none,oakumed oakuming,2,,oakumed oakuming,collegiate,valid,oakum oakums,noun,2026-08-14
papain,3,verb-form,inflection-absent,none,papained papaining,2,,papained papaining,collegiate,valid,papain papains,noun,2026-08-14
pectinicorn,3,verb-form,mw-absent,none,pectinicorned,1,,,,,,,2026-08-14
permatemp,3,verb-form,mw-absent,none,permatemped,1,,,,,,,2026-08-14
psoralen,3,verb-form,inflection-absent,none,psoralened psoralening,2,,psoralened psoralening,collegiate,valid,psoralen psoralens,noun,2026-08-14
radiofax,3,verb-form,mw-absent,none,radiofaxed radiofaxing,2,,,,,,,2026-08-14
ramshorn,3,verb-form,inflection-absent,none,ramshorned,1,,ramshorned,collegiate,valid,ramshorn ramshorns,noun,2026-08-14
ratatouille,3,verb-form,inflection-absent,none,ratatouilled ratatouilling,2,,ratatouilled ratatouilling,collegiate,valid,ratatouille ratatouilles,noun,2026-08-14
refertilize,3,verb-form,mw-absent,none,refertilized refertilizing,2,,,,,,,2026-08-14
riboswitch,3,verb-form,mw-absent,none,riboswitched riboswitching,2,,,,,,,2026-08-14
roadstead,3,verb-form,inflection-absent,none,roadsteaded roadsteading,2,,roadsteaded roadsteading,collegiate,valid,roadstead roadsteads,noun,2026-08-14
sesterce,3,verb-form,inflection-absent,none,sesterced sestercing,2,,sesterced sestercing,collegiate,valid,sesterce sesterces,noun,2026-08-14
sialoendoscopy,3,verb-form,mw-absent,none,sialoendoscopied sialoendoscopying,2,,,,,,,2026-08-14
sidesaddle,3,verb-form,inflection-absent,none,sidesaddled sidesaddling,2,,sidesaddled sidesaddling,collegiate,valid,sidesaddle sidesaddle flower sidesaddles,noun,2026-08-14
skeen,3,verb-form,mw-absent,none,skeened skeening,2,,,,,,,2026-08-14
smartweed,3,verb-form,inflection-absent,none,smartweeded smartweeding,2,,smartweeded smartweeding,collegiate,valid,smartweed smartweeds,noun,2026-08-14
spheroform,3,verb-form,mw-absent,none,spheroformed spheroforming,2,,,,,,,2026-08-14
spongin,3,verb-form,inflection-absent,none,spongined spongining,2,,spongined spongining,collegiate,valid,spongin spongins,noun,2026-08-14
stibocaptate,3,verb-form,mw-absent,none,stibocaptated stibocaptating,2,,,,,,,2026-08-14
stours,3,verb-form,inflection-absent,none,stoursing,1,,stoursing,collegiate,valid,stour stours,noun,2026-08-14
sulphonazide,3,verb-form,mw-absent,none,sulphonazided sulphonaziding,2,,,,,,,2026-08-14
supermacro,3,verb-form,mw-absent,none,supermacroed supermacroing,2,,,,,,,2026-08-14
tracheoinnominate,3,verb-form,mw-absent,none,tracheoinnominated tracheoinnominating,2,,,,,,,2026-08-14
tribromomercurate,3,verb-form,mw-absent,none,tribromomercurated tribromomercurating,2,,,,,,,2026-08-14
triode,3,verb-form,inflection-absent,none,trioded trioding,2,,trioded trioding,collegiate,valid,triode triodes,noun,2026-08-14
unenroll,3,verb-form,mw-absent,none,unenrolling,1,,,,,,,2026-08-14
zabumba,3,verb-form,mw-absent,none,zabumbaed zabumbaing,2,,,,,,,2026-08-14
zymotize,3,verb-form,mw-absent,none,zymotized zymotizing,2,,,,,,,2026-08-14
