stem,stratum,in_wordnet,wordnet_pos,forms,n_forms,stem_intake
airbeam,verb-form,False,,airbeamed airbeaming,2,
airbleed,verb-form,False,,airbleeding,1,
airboat,verb-form,False,,airboated,1,twl_scrabble_dictionary
aircarriage,plural,False,,aircarriages,1,
airchartering,plural,False,,aircharterings,1,
aircrete,plural,False,,aircretes,1,
aircrete,verb-form,False,,aircreted aircreting,2,
airdate,verb-form,False,,airdated airdating,2,twl_scrabble_dictionary
airdock,verb-form,True,n,airdocked airdocking,2,
airdrop,gerund-plural,True,n,airdroppings,1,twl_scrabble_dictionary
airfield,verb-form,True,n,airfielded airfielding,2,twl_scrabble_dictionary
airfreight,gerund-plural,True,v,airfreightings,1,twl_scrabble_dictionary
airglow,verb-form,False,,airglowed airglowing,2,twl_scrabble_dictionary
airlaunching,plural,False,,airlaunchings,1,
airlaying,plural,False,,airlayings,1,
airlift,gerund-plural,True,nv,airliftings,1,twl_scrabble_dictionary
airmail,gerund-plural,True,nv,airmailings,1,twl_scrabble_dictionary
airmobile,verb-form,False,,airmobiling,1,twl_scrabble_dictionary
airproof,gerund-plural,False,,airproofings,1,twl_scrabble_dictionary
airpump,verb-form,False,,airpumped,1,
airscour,plural,False,,airscours,1,
airscour,verb-form,False,,airscoured airscouring,2,
airscrew,verb-form,True,n,airscrewed airscrewing,2,twl_scrabble_dictionary
airspora,plural,False,,airsporas,1,
airstone,verb-form,False,,airstoned airstoning,2,
airstream,verb-form,True,n,airstreaming,1,twl_scrabble_dictionary
airstrip,verb-form,True,n,airstripped airstripping,2,twl_scrabble_dictionary
airt,gerund-plural,True,v,airtings,1,twl_scrabble_dictionary
airthing,verb-form,False,,airthinging,1,twl_scrabble_dictionary
airting,verb-form,True,v,airtinging,1,twl_scrabble_dictionary
airwing,verb-form,False,,airwinged airwinging,2,
airyfairy,plural,False,,airyfairies,1,
aitch,verb-form,False,,aitched aitching,2,twl_scrabble_dictionary
akeake,plural,False,,akeakes,1,
akvavits,verb-form,True,n,akvavitsed,1,twl_scrabble_dictionary
alabaster,verb-form,True,an,alabastering,1,twl_scrabble_dictionary
alarum,gerund-plural,True,n,alarumings,1,twl_scrabble_dictionary
albuterol,verb-form,True,n,albuteroled albuteroling,2,twl_scrabble_dictionary
alchemize,gerund-plural,True,v,alchemizings,1,twl_scrabble_dictionary
alchornea,plural,False,,alchorneas,1,
alclofenac,plural,False,,alclofenacs,1,
alclometasone,plural,False,,alclometasones,1,
alcloxa,plural,False,,alcloxas,1,
alcoholation,plural,False,,alcoholations,1,
aldesleukin,plural,False,,aldesleukins,1,
aldolic,plural,False,,aldolics,1,
aldrin,verb-form,False,,aldrined aldrining,2,twl_scrabble_dictionary
