stem,stratum,in_wordnet,wordnet_pos,forms,n_forms,stem_intake
aconitic,not-in-wn,False,,aconiticer aconiticest,2,twl_scrabble_dictionary
actinuloid,not-in-wn,False,,actinuloider actinuloidest,2,
actionable,wn-adj,True,s,actionabler actionablest,2,twl_scrabble_dictionary
activable,not-in-wn,False,,activabler activablest,2,
activatable,not-in-wn,False,,activatabler activatablest,2,
activational,not-in-wn,False,,activationaler activationalest,2,
actorish,not-in-wn,False,,actorisher actorishest,2,twl_scrabble_dictionary
actressy,not-in-wn,False,,actressier actressiest,2,twl_scrabble_dictionary
acylate,not-in-wn,False,,acylater,1,twl_scrabble_dictionary
adaptable,wn-adj,True,a,adaptabler adaptablest,2,twl_scrabble_dictionary
adaptational,wn-adj,True,s,adaptationaller adaptationallest,2,twl_scrabble_dictionary
adaptive,wn-adj,True,a,adaptivest,1,twl_scrabble_dictionary
addable,wn-adj,True,s,addabler addablest,2,twl_scrabble_dictionary
adrift,wn-adj,True,rs,adrifter adriftest,2,twl_scrabble_dictionary
adsorbable,wn-adj,True,a,adsorbabler adsorbablest,2,twl_scrabble_dictionary
adulatory,wn-adj,True,s,adulatorier adulatoriest,2,twl_scrabble_dictionary
advect,wn-other,True,v,advecter,1,twl_scrabble_dictionary
adventuresome,wn-adj,True,a,adventuresomer adventuresomest,2,twl_scrabble_dictionary
adynamic,wn-adj,True,as,adynamicer adynamicest,2,twl_scrabble_dictionary
aecial,wn-adj,True,a,aecialer aecialest,2,twl_scrabble_dictionary
aerophilous,wn-adj,True,a,aerophilouser aerophilousest,2,
affable,wn-adj,True,s,affabler,1,twl_scrabble_dictionary
affectable,not-in-wn,False,,affectabler affectablest,2,twl_scrabble_dictionary
affiliative,not-in-wn,False,,affiliativer affiliativest,2,
affinal,wn-adj,True,s,affinaler affinalest,2,twl_scrabble_dictionary
affirmable,wn-adj,True,s,affirmabler affirmablest,2,twl_scrabble_dictionary
affixable,not-in-wn,False,,affixabler affixablest,2,twl_scrabble_dictionary
affixial,wn-adj,True,a,affixialer affixialest,2,twl_scrabble_dictionary
afflictive,wn-adj,True,s,afflictiver afflictivest,2,twl_scrabble_dictionary
affluent,wn-adj,True,ns,affluenter affluentest,2,twl_scrabble_dictionary
affordable,wn-adj,True,s,affordabler affordablest,2,twl_scrabble_dictionary
agape,wn-adj,True,ns,agaper,1,twl_scrabble_dictionary
agaricomycetous,not-in-wn,False,,agaricomycetouser agaricomycetousest,2,
agatelike,not-in-wn,False,,agateliker agatelikest,2,
aggregable,not-in-wn,False,,aggregabler aggregablest,2,
aggregational,not-in-wn,False,,aggregationaler aggregationalest,2,twl_scrabble_dictionary
aggregative,wn-adj,True,s,aggregativer aggregativest,2,twl_scrabble_dictionary
aggregogenic,not-in-wn,False,,aggregogenicer aggregogenicest,2,
agile,wn-adj,True,s,agiler agilest,2,twl_scrabble_dictionary
agitable,not-in-wn,False,,agitabler agitablest,2,twl_scrabble_dictionary
agitant,not-in-wn,False,,agitanter agitantest,2,
aglandular,not-in-wn,False,,aglandularer aglandularest,2,
aglow,wn-adj,True,s,aglower aglowest,2,twl_scrabble_dictionary
aglyphous,not-in-wn,False,,aglyphouser aglyphousest,2,
agromeliorative,not-in-wn,False,,agromeliorativer agromeliorativest,2,
agrometeorological,not-in-wn,False,,agrometeorologicaler agrometeorologicalest,2,
agromineral,not-in-wn,False,,agromineraler agromineralest,2,
agrophotovoltaic,not-in-wn,False,,agrophotovoltaicer agrophotovoltaicest,2,
agrophysical,not-in-wn,False,,agrophysicaler agrophysicalest,2,
agrophysiological,not-in-wn,False,,agrophysiologicaler agrophysiologicalest,2,
agropollutant,not-in-wn,False,,agropollutanter agropollutantest,2,
agrosilvipastoral,not-in-wn,False,,agrosilvipastoraler agrosilvipastoralest,2,
agrosilvopastoral,not-in-wn,False,,agrosilvopastoraler agrosilvopastoralest,2,
agrosocial,not-in-wn,False,,agrosocialer agrosocialest,2,
agrosylvopastoral,not-in-wn,False,,agrosylvopastoraler agrosylvopastoralest,2,
ahepatic,not-in-wn,False,,ahepaticer ahepaticest,2,
ahistoric,not-in-wn,False,,ahistoricer ahistoricest,2,twl_scrabble_dictionary
ahistorical,wn-adj,True,a,ahistoricaler ahistoricalest,2,twl_scrabble_dictionary
aidful,not-in-wn,False,,aidfuller aidfullest,2,twl_scrabble_dictionary
airborne,wn-adj,True,s,airborner airbornest,2,twl_scrabble_dictionary
airbound,not-in-wn,False,,airbounder airboundest,2,twl_scrabble_dictionary
airless,wn-adj,True,s,airlesser airlessest,2,twl_scrabble_dictionary
airward,not-in-wn,False,,airwarder airwardest,2,twl_scrabble_dictionary
akin,wn-adj,True,s,akinner akinnest,2,twl_scrabble_dictionary
akinetic,not-in-wn,False,,akineticer akineticest,2,twl_scrabble_dictionary
alarmable,not-in-wn,False,,alarmabler alarmablest,2,twl_scrabble_dictionary
alburnous,not-in-wn,False,,alburnouser alburnousest,2,twl_scrabble_dictionary
aleatory,wn-adj,True,s,aleatorier aleatoriest,2,twl_scrabble_dictionary
aleuronic,wn-adj,True,a,aleuronicer aleuronicest,2,twl_scrabble_dictionary
alfvenic,not-in-wn,False,,alfvenicer alfvenicest,2,
algaic,not-in-wn,False,,algaicer algaicest,2,
algid,wn-adj,True,s,algider algidest,2,twl_scrabble_dictionary
algoid,wn-adj,True,a,algoider algoidest,2,twl_scrabble_dictionary
algological,not-in-wn,False,,algologicaler algologicalest,2,twl_scrabble_dictionary
algorithmic,wn-adj,True,a,algorithmicer algorithmicest,2,twl_scrabble_dictionary
alible,not-in-wn,False,,alibler aliblest,2,twl_scrabble_dictionary
alienable,wn-adj,True,a,alienabler alienablest,2,twl_scrabble_dictionary
alkahestic,wn-adj,True,a,alkahesticer alkahesticest,2,twl_scrabble_dictionary
alkie,not-in-wn,False,,alkiest,1,twl_scrabble_dictionary
alkoxy,not-in-wn,False,,alkoxier alkoxiest,2,twl_scrabble_dictionary
alliant,not-in-wn,False,,allianter alliantest,2,
allocable,wn-adj,True,s,allocabler allocablest,2,twl_scrabble_dictionary
allocatable,wn-adj,True,s,allocatabler allocatablest,2,twl_scrabble_dictionary
allochthonic,not-in-wn,False,,allochthonicer allochthonicest,2,
allodial,not-in-wn,False,,allodialer allodialest,2,twl_scrabble_dictionary
amaranthoid,not-in-wn,False,,amaranthoider amaranthoidest,2,
amaroid,not-in-wn,False,,amaroider amaroidest,2,
amaryllid,not-in-wn,False,,amaryllider amaryllidest,2,
amassable,not-in-wn,False,,amassabler amassablest,2,twl_scrabble_dictionary
amenable,wn-adj,True,s,amenabler amenablest,2,twl_scrabble_dictionary
amendable,wn-adj,True,s,amendabler amendablest,2,twl_scrabble_dictionary
amerciable,wn-adj,True,s,amerciabler amerciablest,2,twl_scrabble_dictionary
amicable,wn-adj,True,a,amicabler,1,twl_scrabble_dictionary
aminic,wn-adj,True,a,aminicer aminicest,2,twl_scrabble_dictionary
aminogenic,not-in-wn,False,,aminogenicer aminogenicest,2,
ammoniacal,wn-adj,True,a,ammoniacaler ammoniacalest,2,twl_scrabble_dictionary
ammonic,not-in-wn,False,,ammonicer ammonicest,2,twl_scrabble_dictionary
ammonitic,wn-adj,True,a,ammoniticer ammoniticest,2,twl_scrabble_dictionary
ammonoid,wn-other,True,n,ammonoider ammonoidest,2,twl_scrabble_dictionary
ammonothermal,not-in-wn,False,,ammonothermaler ammonothermalest,2,
amnesic,wn-adj,True,ans,amnesicer amnesicest,2,twl_scrabble_dictionary
amnestic,wn-adj,True,a,amnesticer amnesticest,2,twl_scrabble_dictionary
amniogenic,not-in-wn,False,,amniogenicer amniogenicest,2,
amniogenous,not-in-wn,False,,amniogenouser amniogenousest,2,
amnioperitoneal,not-in-wn,False,,amnioperitonealer amnioperitonealest,2,
amoral,not-in-wn,False,,amoraler amoralest,2,twl_scrabble_dictionary
amoristic,wn-adj,True,a,amoristicer,1,twl_scrabble_dictionary
amphisbaenic,not-in-wn,False,,amphisbaenicer amphisbaenicest,2,twl_scrabble_dictionary
amphitheatrical,wn-adj,True,a,amphitheatricaler amphitheatricalest,2,twl_scrabble_dictionary
amphitropical,not-in-wn,False,,amphitropicaler amphitropicalest,2,
amphoterous,not-in-wn,False,,amphoterouser amphoterousest,2,
amusable,not-in-wn,False,,amusabler amusablest,2,twl_scrabble_dictionary
amusive,wn-adj,True,s,amusiver amusivest,2,twl_scrabble_dictionary
amygdaloid,wn-adj,True,ns,amygdaloider amygdaloidest,2,twl_scrabble_dictionary
amygdalous,not-in-wn,False,,amygdalouser amygdalousest,2,
amylatic,not-in-wn,False,,amylaticer amylaticest,2,
amylcinnamic,not-in-wn,False,,amylcinnamicer amylcinnamicest,2,
amylcinnamoyl,not-in-wn,False,,amylcinnamoyler amylcinnamoylest,2,
amyloclastic,not-in-wn,False,,amyloclasticer amyloclasticest,2,
amylogenic,not-in-wn,False,,amylogenicer amylogenicest,2,
amylographic,not-in-wn,False,,amylographicer amylographicest,2,
amyloidic,not-in-wn,False,,amyloidicer amyloidicest,2,
amyloidogenic,not-in-wn,False,,amyloidogenicer amyloidogenicest,2,
amyloidolytic,not-in-wn,False,,amyloidolyticer amyloidolyticest,2,
amylolytic,wn-adj,True,a,amylolyticer amylolyticest,2,twl_scrabble_dictionary
analcimic,not-in-wn,False,,analcimicer analcimicest,2,twl_scrabble_dictionary
analectic,not-in-wn,False,,analecticer analecticest,2,twl_scrabble_dictionary
analemmatic,not-in-wn,False,,analemmaticer analemmaticest,2,twl_scrabble_dictionary
analeptic,wn-adj,True,ns,analepticer analepticest,2,twl_scrabble_dictionary
anastral,not-in-wn,False,,anastraller anastrallest,2,
andesitic,not-in-wn,False,,andesiticest,1,twl_scrabble_dictionary
androgenetic,wn-adj,True,a,androgeneticer androgeneticest,2,twl_scrabble_dictionary
androgynous,wn-adj,True,a,androgynouser androgynousest,2,twl_scrabble_dictionary
android,wn-other,True,n,androidest,1,twl_scrabble_dictionary
andromorphic,not-in-wn,False,,andromorphicer andromorphicest,2,
androphagous,not-in-wn,False,,androphagouser androphagousest,2,
anecdotal,wn-adj,True,as,anecdotaler anecdotalest,2,twl_scrabble_dictionary
anecdotic,wn-adj,True,s,anecdoticer anecdoticest,2,twl_scrabble_dictionary
anecdotical,wn-adj,True,s,anecdoticaler anecdoticalest,2,twl_scrabble_dictionary
anelastic,not-in-wn,False,,anelasticer anelasticest,2,twl_scrabble_dictionary
anembryonic,not-in-wn,False,,anembryonicer anembryonicest,2,
anemiaceous,not-in-wn,False,,anemiaceouser anemiaceousest,2,
anemiagenic,not-in-wn,False,,anemiagenicer anemiagenicest,2,
anemiogenic,not-in-wn,False,,anemiogenicer anemiogenicest,2,
anemious,not-in-wn,False,,anemiouser anemiousest,2,
anemological,not-in-wn,False,,anemologicaler anemologicalest,2,
anemophilous,wn-adj,True,a,anemophilouser anemophilousest,2,twl_scrabble_dictionary
anencephalic,wn-adj,True,a,anencephalicer anencephalicest,2,twl_scrabble_dictionary
anergic,not-in-wn,False,,anergicer,1,twl_scrabble_dictionary
angiofibromatous,not-in-wn,False,,angiofibromatouser angiofibromatousest,2,
angiofollicular,not-in-wn,False,,angiofollicularer angiofollicularest,2,
angiogenic,not-in-wn,False,,angiogenicer angiogenicest,2,twl_scrabble_dictionary
angiographic,not-in-wn,False,,angiographicer angiographicest,2,twl_scrabble_dictionary
angiographical,not-in-wn,False,,angiographicaler angiographicalest,2,
angioid,not-in-wn,False,,angioider angioidest,2,
angioimmunoblastic,not-in-wn,False,,angioimmunoblasticer angioimmunoblasticest,2,
angioinductive,not-in-wn,False,,angioinductiver angioinductivest,2,
angioinhibitory,not-in-wn,False,,angioinhibitorier angioinhibitoriest,2,
angioinvasive,not-in-wn,False,,angioinvasiver angioinvasivest,2,
angioneuritic,not-in-wn,False,,angioneuriticer angioneuriticest,2,
angioparalytic,not-in-wn,False,,angioparalyticer angioparalyticest,2,
angioparetic,not-in-wn,False,,angiopareticer angiopareticest,2,
angiopathic,not-in-wn,False,,angiopathicer angiopathicest,2,
angioplastic,not-in-wn,False,,angioplasticer angioplasticest,2,
angioproliferative,not-in-wn,False,,angioproliferativer angioproliferativest,2,
angioprotective,not-in-wn,False,,angioprotectiver angioprotectivest,2,
angiosarcomatous,not-in-wn,False,,angiosarcomatouser angiosarcomatousest,2,
angiosclerotic,not-in-wn,False,,angioscleroticer angioscleroticest,2,
angiosomal,not-in-wn,False,,angiosomaler angiosomalest,2,
angiospermic,not-in-wn,False,,angiospermicer angiospermicest,2,
angiospermous,wn-adj,True,a,angiospermouser angiospermousest,2,twl_scrabble_dictionary
angiosporous,not-in-wn,False,,angiosporouser angiosporousest,2,
angiostatic,not-in-wn,False,,angiostaticer angiostaticest,2,
angiotensive,not-in-wn,False,,angiotensiver angiotensivest,2,
angiothrombotic,not-in-wn,False,,angiothromboticer angiothromboticest,2,
angiotic,not-in-wn,False,,angioticer angioticest,2,
angiotonic,not-in-wn,False,,angiotonicer angiotonicest,2,
anguid,not-in-wn,False,,anguider anguidest,2,
angular,wn-adj,True,a,angularer angularest,2,twl_scrabble_dictionary
anhydrotic,not-in-wn,False,,anhydroticer anhydroticest,2,
anhypostatic,not-in-wn,False,,anhypostaticer anhypostaticest,2,
anhysteretic,not-in-wn,False,,anhystereticer anhystereticest,2,
aniconical,not-in-wn,False,,aniconicaler aniconicalest,2,
aniconistic,not-in-wn,False,,aniconisticer aniconisticest,2,
anidiomatic,not-in-wn,False,,anidiomaticer anidiomaticest,2,
animant,not-in-wn,False,,animanter animantest,2,
anosognostic,not-in-wn,False,,anosognosticer anosognosticest,2,
anovular,not-in-wn,False,,anovularer anovularest,2,twl_scrabble_dictionary
anoxemic,wn-adj,True,a,anoxemicer anoxemicest,2,twl_scrabble_dictionary
anoxygenic,not-in-wn,False,,anoxygenicer anoxygenicest,2,
anthogenous,not-in-wn,False,,anthogenouser anthogenousest,2,
anthophagous,wn-adj,True,s,anthophagouser anthophagousest,2,
anthophilous,wn-adj,True,s,anthophilouser anthophilousest,2,twl_scrabble_dictionary
anthracotic,not-in-wn,False,,anthracoticer anthracoticest,2,
anthraflavic,not-in-wn,False,,anthraflavicer anthraflavicest,2,
anthraxylous,not-in-wn,False,,anthraxylouser anthraxylousest,2,
anthropical,wn-adj,True,a,anthropicaler anthropicalest,2,twl_scrabble_dictionary
antidotal,wn-adj,True,a,antidotaler antidotalest,2,twl_scrabble_dictionary
antidromic,wn-adj,True,s,antidromicer antidromicest,2,twl_scrabble_dictionary
antidysrhythmic,not-in-wn,False,,antidysrhythmicer antidysrhythmicest,2,
antiechinococcosic,not-in-wn,False,,antiechinococcosicer antiechinococcosicest,2,
antiecological,not-in-wn,False,,antiecologicaler antiecologicalest,2,
antiedematous,not-in-wn,False,,antiedematouser antiedematousest,2,
antieducational,not-in-wn,False,,antieducationaler antieducationalest,2,twl_scrabble_dictionary
antiembolic,not-in-wn,False,,antiembolicer antiembolicest,2,
antiepileptic,wn-other,True,n,antiepilepticer antiepilepticest,2,twl_scrabble_dictionary
antifashionable,not-in-wn,False,,antifashionabler antifashionablest,2,twl_scrabble_dictionary
antihail,not-in-wn,False,,antihailer antihailest,2,
antihistorical,not-in-wn,False,,antihistoricaler antihistoricalest,2,twl_scrabble_dictionary
antihumanistic,not-in-wn,False,,antihumanisticer antihumanisticest,2,twl_scrabble_dictionary
antihypercholesteremic,not-in-wn,False,,antihypercholesteremicer antihypercholesteremicest,2,
antihyperinsulinemic,not-in-wn,False,,antihyperinsulinemicer antihyperinsulinemicest,2,
antihyperkinetic,not-in-wn,False,,antihyperkineticer antihyperkineticest,2,
antihyperlipemic,not-in-wn,False,,antihyperlipemicer antihyperlipemicest,2,
antihypertensive,wn-other,True,n,antihypertensiver antihypertensivest,2,
antihyperthermic,not-in-wn,False,,antihyperthermicer antihyperthermicest,2,
antihyperthyroid,not-in-wn,False,,antihyperthyroider,1,
antiketotic,not-in-wn,False,,antiketoticer antiketoticest,2,
antileak,not-in-wn,False,,antileaker,1,twl_scrabble_dictionary
antileukemic,not-in-wn,False,,antileukemicer antileukemicest,2,twl_scrabble_dictionary
antilibertarian,not-in-wn,False,,antilibertarianer antilibertarianest,2,twl_scrabble_dictionary
antilogical,not-in-wn,False,,antilogicaler antilogicalest,2,twl_scrabble_dictionary
antimonic,wn-adj,True,a,antimonicer antimonicest,2,twl_scrabble_dictionary
antimosaic,not-in-wn,False,,antimosaicer antimosaicest,2,
antistellar,not-in-wn,False,,antistellarer antistellarest,2,
antistory,not-in-wn,False,,antistorier antistoriest,2,twl_scrabble_dictionary
antisweat,not-in-wn,False,,antisweater antisweatest,2,
antisyphilitic,wn-other,True,n,antisyphiliticer antisyphiliticest,2,
antitermitic,not-in-wn,False,,antitermiticer antitermiticest,2,
antitheological,not-in-wn,False,,antitheologicaler antitheologicalest,2,
antitheoretical,not-in-wn,False,,antitheoreticaler antitheoreticalest,2,twl_scrabble_dictionary
antivenomous,not-in-wn,False,,antivenomouser antivenomousest,2,
antiveridical,not-in-wn,False,,antiveridicaler antiveridicalest,2,
antivesicant,not-in-wn,False,,antivesicanter antivesicantest,2,
antiviral,wn-adj,True,an,antiviralest,1,twl_scrabble_dictionary
antivital,not-in-wn,False,,antivitaler antivitalest,2,
antivocational,not-in-wn,False,,antivocationaler antivocationalest,2,
antral,not-in-wn,False,,antraller antrallest,2,twl_scrabble_dictionary
aplanatic,wn-adj,True,s,aplanaticer aplanaticest,2,twl_scrabble_dictionary
aplastic,not-in-wn,False,,aplasticer aplasticest,2,twl_scrabble_dictionary
aplitic,wn-adj,True,a,apliticer apliticest,2,twl_scrabble_dictionary
apobatic,not-in-wn,False,,apobaticer apobaticest,2,
apocalyptic,wn-adj,True,as,apocalypticer apocalypticest,2,twl_scrabble_dictionary
apochromatic,wn-adj,True,s,apochromaticer apochromaticest,2,twl_scrabble_dictionary
appeasable,wn-adj,True,s,appeasabler appeasablest,2,twl_scrabble_dictionary
appreciable,wn-adj,True,s,appreciabler appreciablest,2,twl_scrabble_dictionary
approachable,wn-adj,True,as,approachablest,1,twl_scrabble_dictionary
approbatory,wn-adj,True,s,approbatorier approbatoriest,2,twl_scrabble_dictionary
appropriable,wn-adj,True,s,appropriabler appropriablest,2,twl_scrabble_dictionary
approvable,not-in-wn,False,,approvabler approvablest,2,twl_scrabble_dictionary
aptonymous,not-in-wn,False,,aptonymouser aptonymousest,2,
apyretic,not-in-wn,False,,apyreticer apyreticest,2,twl_scrabble_dictionary
apyrimidinic,not-in-wn,False,,apyrimidinicer apyrimidinicest,2,
apyrogenic,not-in-wn,False,,apyrogenicer apyrogenicest,2,
apyrous,not-in-wn,False,,apyrouser apyrousest,2,
aquaceous,not-in-wn,False,,aquaceouser aquaceousest,2,
aquadynamic,not-in-wn,False,,aquadynamicer aquadynamicest,2,
arable,wn-adj,True,s,arablest,1,twl_scrabble_dictionary
aragonitic,not-in-wn,False,,aragoniticer aragoniticest,2,twl_scrabble_dictionary
araliphatic,not-in-wn,False,,araliphaticer araliphaticest,2,
arbitrable,wn-adj,True,a,arbitrabler arbitrablest,2,twl_scrabble_dictionary
arbitral,wn-adj,True,a,arbitraller arbitrallest,2,twl_scrabble_dictionary
arbitrary,wn-adj,True,a,arbitrariest,1,twl_scrabble_dictionary
arborous,wn-adj,True,a,arborouser arborousest,2,twl_scrabble_dictionary
arboviral,not-in-wn,False,,arboviraler arboviralest,2,twl_scrabble_dictionary
arbutean,not-in-wn,False,,arbuteaner arbuteanest,2,twl_scrabble_dictionary
arcane,wn-adj,True,s,arcaner arcanest,2,twl_scrabble_dictionary
arch,wn-adj,True,nsv,archest,1,twl_scrabble_dictionary
archaic,wn-adj,True,s,archaicer archaicest,2,twl_scrabble_dictionary
archaistic,wn-adj,True,a,archaisticer archaisticest,2,twl_scrabble_dictionary
archiducal,not-in-wn,False,,archiducaler archiducalest,2,
archipresbyteral,not-in-wn,False,,archipresbyteraler archipresbyteralest,2,
architectonic,wn-adj,True,a,architectonicer architectonicest,2,twl_scrabble_dictionary
architectonical,not-in-wn,False,,architectonicaler architectonicalest,2,
architectural,wn-adj,True,a,architecturaler architecturalest,2,twl_scrabble_dictionary
arcuate,wn-adj,True,s,arcuatest,1,twl_scrabble_dictionary
areic,not-in-wn,False,,areicer areicest,2,twl_scrabble_dictionary
arenary,not-in-wn,False,,arenarier arenariest,2,
arenicolous,wn-adj,True,a,arenicolouser arenicolousest,2,twl_scrabble_dictionary
areniferous,not-in-wn,False,,areniferouser areniferousest,2,
arenophilous,not-in-wn,False,,arenophilouser arenophilousest,2,
arenous,not-in-wn,False,,arenouser arenousest,2,twl_scrabble_dictionary
arenulous,not-in-wn,False,,arenulouser arenulousest,2,
areographical,not-in-wn,False,,areographicaler areographicalest,2,
areolate,wn-adj,True,a,areolater areolatest,2,twl_scrabble_dictionary
areological,not-in-wn,False,,areologicaler areologicalest,2,
areomagnetic,not-in-wn,False,,areomagneticer areomagneticest,2,
argent,wn-adj,True,ns,argentest,1,twl_scrabble_dictionary
arilloid,not-in-wn,False,,arilloider arilloidest,2,twl_scrabble_dictionary
armful,wn-other,True,n,armfuller armfullest,2,twl_scrabble_dictionary
armorless,not-in-wn,False,,armorlesser armorlessest,2,twl_scrabble_dictionary
arousable,not-in-wn,False,,arousabler arousablest,2,twl_scrabble_dictionary
arrestant,not-in-wn,False,,arrestanter arrestantest,2,twl_scrabble_dictionary
arrowless,not-in-wn,False,,arrowlesser arrowlessest,2,twl_scrabble_dictionary
arsenical,wn-adj,True,an,arsenicaler arsenicalest,2,twl_scrabble_dictionary
arsenicous,not-in-wn,False,,arsenicousser arsenicoussest,2,
arsenious,wn-adj,True,a,arseniouser arseniousest,2,twl_scrabble_dictionary
arsenous,not-in-wn,False,,arsenouser arsenousest,2,twl_scrabble_dictionary
arsonous,not-in-wn,False,,arsonouser arsonousest,2,twl_scrabble_dictionary
arthrous,not-in-wn,False,,arthrouser arthrousest,2,
articulable,not-in-wn,False,,articulabler articulablest,2,twl_scrabble_dictionary
